Epoch,Batch,Time,Time_sum,Loss,Loss_avg
0,1271/12672,0.465673,595.038007,3.754208,3.937671
0,1272/12672,0.464681,595.502688,3.863782,3.937613
0,1273/12672,0.466407,595.969095,4.082344,3.937727
0,1274/12672,0.464794,596.433889,3.728583,3.937563
0,1275/12672,0.463522,596.897411,4.016340,3.937624
0,1276/12672,0.464329,597.361740,4.122145,3.937769
0,1277/12672,0.465229,597.826969,3.743968,3.937617
0,1278/12672,0.463660,598.290629,4.220102,3.937838
0,1279/12672,0.465672,598.756301,3.682164,3.937638
0,1280/12672,0.464684,599.220985,3.600390,3.937375
0,1281/12672,0.465819,599.686804,3.828696,3.937290
0,1282/12672,0.463738,600.150542,3.705757,3.937110
0,1283/12672,0.465209,600.615750,3.917444,3.937095
0,1284/12672,0.465633,601.081383,3.726500,3.936931
0,1285/12672,0.465047,601.546430,3.540320,3.936622
0,1286/12672,0.464699,602.011129,4.128129,3.936771
0,1287/12672,0.464561,602.475690,3.770829,3.936642
0,1288/12672,0.467188,602.942878,3.499045,3.936303
0,1289/12672,0.465848,603.408727,3.992677,3.936347
0,1290/12672,0.465798,603.874524,3.841424,3.936273
0,1291/12672,0.464838,604.339362,3.682379,3.936076
0,1292/12672,0.465212,604.804574,3.847941,3.936008
0,1293/12672,0.465127,605.269701,3.956799,3.936024
0,1294/12672,0.464586,605.734288,3.747936,3.935879
0,1295/12672,0.464757,606.199045,3.798527,3.935773
0,1296/12672,0.463665,606.662711,4.038682,3.935853
0,1297/12672,0.464689,607.127400,3.639545,3.935624
0,1298/12672,0.466203,607.593603,4.190832,3.935821
0,1299/12672,0.466721,608.060324,3.608879,3.935569
0,1300/12672,0.465695,608.526020,4.468003,3.935978
0,1301/12672,0.465142,608.991162,3.969409,3.936004
0,1302/12672,0.465367,609.456528,4.183230,3.936194
0,1303/12672,0.465647,609.922175,4.034676,3.936269
0,1304/12672,0.466730,610.388905,4.069435,3.936371
0,1305/12672,0.465179,610.854084,3.950020,3.936382
0,1306/12672,0.464027,611.318111,3.718360,3.936215
0,1307/12672,0.466315,611.784426,3.790054,3.936103
0,1308/12672,0.464720,612.249146,3.920196,3.936091
0,1309/12672,0.464256,612.713401,3.898329,3.936062
0,1310/12672,0.463390,613.176791,3.951583,3.936074
0,1311/12672,0.466419,613.643210,3.787988,3.935961
0,1312/12672,0.464361,614.107571,3.879111,3.935918
0,1313/12672,0.465202,614.572773,3.886315,3.935880
0,1314/12672,0.464708,615.037481,3.866677,3.935828
0,1315/12672,0.466614,615.504095,3.899125,3.935800
0,1316/12672,0.464389,615.968484,3.970513,3.935826
0,1317/12672,0.465083,616.433567,3.848655,3.935760
0,1318/12672,0.466214,616.899781,3.829845,3.935680
0,1319/12672,0.466501,617.366282,4.197965,3.935878
0,1320/12672,0.464802,617.831084,3.855440,3.935817
0,1321/12672,0.463646,618.294730,4.077881,3.935925
0,1322/12672,0.465125,618.759855,4.061562,3.936020
0,1323/12672,0.465604,619.225459,3.847498,3.935953
0,1324/12672,0.464676,619.690135,3.794660,3.935846
0,1325/12672,0.464641,620.154776,3.820546,3.935759
0,1326/12672,0.465662,620.620438,3.806525,3.935662
0,1327/12672,0.463978,621.084416,3.671441,3.935463
0,1328/12672,0.465188,621.549605,4.332954,3.935762
0,1329/12672,0.467405,622.017010,3.855322,3.935702
0,1330/12672,0.464595,622.481605,3.889688,3.935667
0,1331/12672,0.464641,622.946246,3.712779,3.935500
0,1332/12672,0.465293,623.411539,3.813019,3.935408
0,1333/12672,0.465749,623.877288,3.863356,3.935354
0,1334/12672,0.463917,624.341205,3.891502,3.935321
0,1335/12672,0.465387,624.806592,3.815929,3.935232
0,1336/12672,0.465444,625.272036,4.217035,3.935442
0,1337/12672,0.464617,625.736652,3.779378,3.935326
0,1338/12672,0.464783,626.201435,3.803993,3.935228
0,1339/12672,0.463724,626.665160,3.838814,3.935156
0,1340/12672,0.464762,627.129921,3.682706,3.934968
0,1341/12672,0.465775,627.595696,3.851487,3.934905
0,1342/12672,0.466114,628.061810,3.669216,3.934708
0,1343/12672,0.465373,628.527183,3.852032,3.934646
0,1344/12672,0.464978,628.992161,3.974277,3.934675
0,1345/12672,0.465136,629.457297,4.166268,3.934848
0,1346/12672,0.464992,629.922289,3.569254,3.934576
0,1347/12672,0.465217,630.387506,3.972140,3.934604
0,1348/12672,0.465182,630.852689,3.931275,3.934602
0,1349/12672,0.465304,631.317993,3.792714,3.934496
0,1350/12672,0.465132,631.783124,3.769863,3.934375
0,1351/12672,0.465277,632.248401,3.938387,3.934378
0,1352/12672,0.463929,632.712330,4.054998,3.934467
0,1353/12672,0.464024,633.176354,3.977714,3.934499
0,1354/12672,0.464645,633.640999,3.930266,3.934495
0,1355/12672,0.464614,634.105613,3.916068,3.934482
0,1356/12672,0.464987,634.570600,4.069598,3.934581
0,1357/12672,0.466163,635.036763,3.969294,3.934607
0,1358/12672,0.466791,635.503554,4.047909,3.934690
0,1359/12672,0.465253,635.968807,3.823585,3.934609
0,1360/12672,0.465283,636.434091,3.687781,3.934427
0,1361/12672,0.464796,636.898887,4.199377,3.934622
0,1362/12672,0.463888,637.362775,3.899720,3.934596
0,1363/12672,0.465552,637.828327,4.254670,3.934831
0,1364/12672,0.463828,638.292155,3.773738,3.934713
0,1365/12672,0.465478,638.757633,3.863787,3.934661
0,1366/12672,0.464011,639.221644,3.890671,3.934629
0,1367/12672,0.463799,639.685443,4.055796,3.934717
0,1368/12672,0.466911,640.152354,3.753691,3.934585
0,1369/12672,0.465012,640.617366,3.825305,3.934505
0,1370/12672,0.463994,641.081361,3.795731,3.934404
0,1371/12672,0.465621,641.546982,3.930722,3.934401
0,1372/12672,0.464098,642.011080,3.677445,3.934214
0,1373/12672,0.465251,642.476331,3.806480,3.934121
0,1374/12672,0.465947,642.942278,3.661072,3.933923
0,1375/12672,0.463461,643.405739,3.898768,3.933897
0,1376/12672,0.466066,643.871805,3.900066,3.933873
0,1377/12672,0.464935,644.336740,4.098963,3.933992
0,1378/12672,0.465658,644.802398,4.047336,3.934075
0,1379/12672,0.463288,645.265686,3.713659,3.933915
0,1380/12672,0.464925,645.730610,4.082118,3.934022
0,1381/12672,0.464854,646.195465,3.697265,3.933851
0,1382/12672,0.465415,646.660880,3.634221,3.933634
0,1383/12672,0.465869,647.126749,3.824226,3.933555
0,1384/12672,0.464262,647.591010,3.880947,3.933517
0,1385/12672,0.464208,648.055219,4.003049,3.933567
0,1386/12672,0.465333,648.520552,4.349857,3.933868
0,1387/12672,0.465129,648.985681,4.022830,3.933932
0,1388/12672,0.464304,649.449985,3.744923,3.933796
0,1389/12672,0.465043,649.915027,3.618212,3.933569
0,1390/12672,0.464663,650.379690,3.797294,3.933471
0,1391/12672,0.465492,650.845182,3.908221,3.933452
0,1392/12672,0.465811,651.310993,3.714238,3.933295
0,1393/12672,0.464829,651.775822,3.674239,3.933109
